country_code_alpha3,country_code_alpha2,country_code_numeric,world_region_type,world_region_code,selectable,display_order,remarks,created_at,updated_at,deleted_at
KNA,KN,659,world_region,north_america,false,,セントクリストファー・ネイビス,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
KOR,KR,410,world_region,asia,false,,大韓民国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
KWT,KW,414,world_region,asia,false,,クウェート国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
LAO,LA,418,world_region,asia,false,,ラオス人民民主共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
LBN,LB,422,world_region,asia,false,,レバノン共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
LBR,LR,430,world_region,africa,false,,リベリア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
LBY,LY,434,world_region,africa,false,,リビア国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
LCA,LC,662,world_region,north_america,false,,セントルシア,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
LIE,LI,438,world_region,europe,false,,リヒテンシュタイン公国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
LKA,LK,144,world_region,asia,false,,スリランカ民主社会主義共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
LSO,LS,426,world_region,africa,false,,レソト王国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
LTU,LT,440,world_region,europe,false,,リトアニア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
LUX,LU,442,world_region,europe,false,,ルクセンブルク大公国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
LVA,LV,428,world_region,europe,false,,ラトビア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MAC,MO,446,world_region,asia,false,,マカオ(澳門),2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MAF,MF,663,world_region,north_america,false,,サン・マルタン,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MAR,MA,504,world_region,africa,false,,モロッコ王国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MCO,MC,492,world_region,europe,false,,モナコ公国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MDA,MD,498,world_region,europe,false,,モルドバ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MDG,MG,450,world_region,africa,false,,マダガスカル共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MDV,MV,462,world_region,asia,false,,モルディブ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MEX,MX,484,world_region,north_america,false,,メキシコ合衆国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MHL,MH,584,world_region,oceania,false,,マーシャル諸島共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MKD,MK,807,world_region,europe,false,,北マケドニア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MLI,ML,466,world_region,africa,false,,マリ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MLT,MT,470,world_region,europe,false,,マルタ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MMR,MM,104,world_region,asia,false,,ミャンマー連邦,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MNE,ME,499,world_region,europe,false,,モンテネグロ,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MNG,MN,496,world_region,asia,false,,モンゴル国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MNP,MP,580,world_region,oceania,false,,北マリアナ諸島自治連邦区,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MOZ,MZ,508,world_region,africa,false,,モザンビーク共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MRT,MR,478,world_region,africa,false,,モーリタニア・イスラム共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MSR,MS,500,world_region,north_america,false,,モントセラト,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MTQ,MQ,474,world_region,north_america,false,,マルティニーク島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MUS,MU,480,world_region,africa,false,,モーリシャス共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MWI,MW,454,world_region,africa,false,,マラウイ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MYS,MY,458,world_region,asia,false,,マレーシア,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MYT,YT,175,world_region,africa,false,,マヨット島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
NAM,NA,516,world_region,africa,false,,ナミビア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
NCL,NC,540,world_region,oceania,false,,ニューカレドニア,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
NER,NE,562,world_region,africa,false,,ニジェール共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
NFK,NF,574,world_region,oceania,false,,ノーフォーク島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
NGA,NG,566,world_region,africa,false,,ナイジェリア連邦共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
NIC,NI,558,world_region,north_america,false,,ニカラグア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
NIU,NU,570,world_region,oceania,false,,ニウエ,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
NLD,NL,528,world_region,europe,false,,オランダ王国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
NOR,NO,578,world_region,europe,false,,ノルウェー王国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
NPL,NP,524,world_region,asia,false,,ネパール王国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
NRU,NR,520,world_region,oceania,false,,ナウル共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
NZL,NZ,554,world_region,oceania,false,,ニュージーランド,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
OMN,OM,512,world_region,asia,false,,オマーン国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
PAK,PK,586,world_region,asia,false,,パキスタン・イスラム共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
PAN,PA,591,world_region,north_america,false,,パナマ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
PCN,PN,612,world_region,oceania,false,,ピトケアン島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
PER,PE,604,world_region,south_america,false,,ペルー共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
PHL,PH,608,world_region,asia,false,,フィリピン共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
PLW,PW,585,world_region,oceania,false,,パラオ,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
PNG,PG,598,world_region,oceania,false,,パプアニューギニア,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
POL,PL,616,world_region,europe,false,,ポーランド共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
PRI,PR,630,world_region,north_america,false,,プエルトリコ自治連邦区,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
PRK,KP,408,world_region,asia,false,,北朝鮮=朝鮮民主主義人民共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
PRT,PT,620,world_region,europe,false,,ポルトガル共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
PRY,PY,600,world_region,south_america,false,,パラグアイ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
PSE,PS,275,world_region,asia,false,,パレスチナ国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
PYF,PF,258,world_region,oceania,false,,仏領ポリネシア,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
QAT,QA,634,world_region,asia,false,,カタール国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
REU,RE,638,world_region,africa,false,,レユニオン,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
ROU,RO,642,world_region,europe,false,,ルーマニア,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
RUS,RU,643,world_region,europe,false,,ロシア連邦,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
RWA,RW,646,world_region,africa,false,,ルワンダ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
SAU,SA,682,world_region,asia,false,,サウジアラビア王国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
SDN,SD,729,world_region,africa,false,,スーダン共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
SEN,SN,686,world_region,africa,false,,セネガル共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
SGS,GS,239,world_region,south_america,false,,南ジョージア島・南サンドイッチ諸島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
SHN,SH,654,world_region,africa,false,,セントヘレナ島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
SJM,SJ,744,world_region,europe,false,,スバールバル諸島・ヤンマイエン島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
SLB,SB,90,world_region,oceania,false,,ソロモン諸島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
SLE,SL,694,world_region,africa,false,,シエラレオネ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
SLV,SV,222,world_region,north_america,false,,エルサルバドル共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
SMR,SM,674,world_region,europe,false,,サンマリノ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
SOM,SO,706,world_region,africa,false,,ソマリア民主共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
SPM,PM,666,world_region,north_america,false,,サンピエール島・ミクロン島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
SRB,RS,688,world_region,europe,false,,セルビア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
SSD,SS,728,world_region,africa,false,,南スーダン共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
STP,ST,678,world_region,africa,false,,サントメ・プリンシペ民主共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
SUR,SR,740,world_region,south_america,false,,スリナム共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
SVK,SK,703,world_region,europe,false,,スロバキア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
SVN,SI,705,world_region,europe,false,,スロベニア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
SWE,SE,752,world_region,europe,false,,スウェーデン王国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
SWZ,SZ,748,world_region,africa,false,,エスワティニ王国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
SXM,SX,534,world_region,north_america,false,,シント・マールテン,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
SYC,SC,690,world_region,africa,false,,セーシェル共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
SYR,SY,760,world_region,asia,false,,シリア・アラブ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
TCA,TC,796,world_region,north_america,false,,タークス諸島・カイコス諸島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
TCD,TD,148,world_region,africa,false,,チャド共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
TGO,TG,768,world_region,africa,false,,トーゴ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
TJK,TJ,762,world_region,asia,false,,タジキスタン共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
TKL,TK,772,world_region,oceania,false,,トケラウ諸島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
TKM,TM,795,world_region,asia,false,,トルクメニスタン,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
TLS,TL,626,world_region,asia,false,,東ティモール,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
TON,TO,776,world_region,oceania,false,,トンガ王国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
TTO,TT,780,world_region,north_america,false,,トリニダード・トバゴ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
TUN,TN,788,world_region,africa,false,,チュニジア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
TUR,TR,792,world_region,asia,false,,トルコ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
TUV,TV,798,world_region,oceania,false,,ツバル,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
TWN,TW,158,world_region,asia,false,,台湾,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
TZA,TZ,834,world_region,africa,false,,タンザニア連合共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
UGA,UG,800,world_region,africa,false,,ウガンダ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
UKR,UA,804,world_region,europe,false,,ウクライナ,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
UMI,UM,581,world_region,oceania,false,,米領太平洋諸島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
URY,UY,858,world_region,south_america,false,,ウルグアイ東方共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
UZB,UZ,860,world_region,asia,false,,ウズベキスタン共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
VAT,VA,336,world_region,europe,false,,バチカン市国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
VCT,VC,670,world_region,north_america,false,,セントビンセント・グレナディーン,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
VEN,VE,862,world_region,south_america,false,,ベネズエラ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
VGB,VG,92,world_region,north_america,false,,英領ヴァージン諸島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
VIR,VI,850,world_region,north_america,false,,米領ヴァージン諸島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
VNM,VN,704,world_region,asia,false,,ベトナム社会主義共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
VUT,VU,548,world_region,oceania,false,,バヌアツ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
WLF,WF,876,world_region,oceania,false,,ワリス・フテュナ諸島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
WSM,WS,882,world_region,oceania,false,,サモア独立国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
YEM,YE,887,world_region,asia,false,,イエメン共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
ZAF,ZA,710,world_region,africa,false,,南アフリカ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
ZMB,ZM,894,world_region,africa,false,,ザンビア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
ZWE,ZW,716,world_region,africa,false,,ジンバブエ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
